sku,url,ok,http_status,final_url,error
L1-CIE0580-E3-04,https://payhip.com/b/yd5lz,yes,200,https://payhip.com/b/yd5lz,
L1-CIE0580-E3-05,https://payhip.com/b/tnho2,yes,200,https://payhip.com/b/tnho2,
L1-CIE0580-E3-06,https://payhip.com/b/DP8Uh,yes,200,https://payhip.com/b/DP8Uh,
L1-CIE0580-E3-07,https://payhip.com/b/1paP7,yes,200,https://payhip.com/b/1paP7,
L1-CIE0580-E4-01,https://payhip.com/b/4x3Gv,yes,200,https://payhip.com/b/4x3Gv,
L1-CIE0580-E4-02,https://payhip.com/b/u2H86,yes,200,https://payhip.com/b/u2H86,
L1-CIE0580-E4-03,https://payhip.com/b/vIitL,yes,200,https://payhip.com/b/vIitL,
L1-CIE0580-E4-04,https://payhip.com/b/L6Nac,yes,200,https://payhip.com/b/L6Nac,
L1-CIE0580-E4-05,https://payhip.com/b/Ynfjg,yes,200,https://payhip.com/b/Ynfjg,
L1-CIE0580-E4-06,https://payhip.com/b/biQZE,yes,200,https://payhip.com/b/biQZE,
L1-CIE0580-E4-07,https://payhip.com/b/nHbYt,yes,200,https://payhip.com/b/nHbYt,
L1-CIE0580-E4-08,https://payhip.com/b/GZz3t,yes,200,https://payhip.com/b/GZz3t,
L1-CIE0580-E5-01,https://payhip.com/b/ZxrRJ,yes,200,https://payhip.com/b/ZxrRJ,
L1-CIE0580-E5-02,https://payhip.com/b/D0Iof,yes,200,https://payhip.com/b/D0Iof,
L1-CIE0580-E5-03,https://payhip.com/b/3fLuE,yes,200,https://payhip.com/b/3fLuE,
L1-CIE0580-E5-04,https://payhip.com/b/sMzK7,yes,200,https://payhip.com/b/sMzK7,
L1-CIE0580-E5-05,https://payhip.com/b/zES0n,yes,200,https://payhip.com/b/zES0n,
L1-CIE0580-E6-01,https://payhip.com/b/mOZWF,yes,200,https://payhip.com/b/mOZWF,
L1-CIE0580-E6-02,https://payhip.com/b/smgf9,yes,200,https://payhip.com/b/smgf9,
L1-CIE0580-E6-03,https://payhip.com/b/f0qYv,yes,200,https://payhip.com/b/f0qYv,
L1-CIE0580-E6-04,https://payhip.com/b/79mdC,yes,200,https://payhip.com/b/79mdC,
L1-CIE0580-E6-05,https://payhip.com/b/Ce7aK,yes,200,https://payhip.com/b/Ce7aK,
L1-CIE0580-E6-06,https://payhip.com/b/h0Qkn,yes,200,https://payhip.com/b/h0Qkn,
L1-CIE0580-E7-01,https://payhip.com/b/Q1GfJ,yes,200,https://payhip.com/b/Q1GfJ,
L1-CIE0580-E7-02,https://payhip.com/b/YGgqH,yes,200,https://payhip.com/b/YGgqH,
L1-CIE0580-E7-03,https://payhip.com/b/f6ijw,yes,200,https://payhip.com/b/f6ijw,
L1-CIE0580-E7-04,https://payhip.com/b/b3xmf,yes,200,https://payhip.com/b/b3xmf,
L1-CIE0580-E8-01,https://payhip.com/b/BYwEb,yes,200,https://payhip.com/b/BYwEb,
L1-CIE0580-E8-02,https://payhip.com/b/MuGs7,yes,200,https://payhip.com/b/MuGs7,
