upload_priority,sku,level,board,board_label,tier_scope,final_title_en,title_variant_used,final_title_len,listing_title_short_en,listing_title_mobile_en,price_early_bird,price_regular,payhip_url_seed
4,L1-CIE0580-C6-02,L1,cie0580,CIE 0580,Core,CIE 0580 C6-02 Right Angled Triangles (Core),short,44,CIE 0580 C6-02 Right Angled Triangles (Core),CIE 0580 C6-02 Right Angled Triangles (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c6-02
4,L1-CIE0580-C7-01,L1,cie0580,CIE 0580,Core,CIE 0580 C7-01 Transformations (Core),short,37,CIE 0580 C7-01 Transformations (Core),CIE 0580 C7-01 Transformations (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c7-01
4,L1-CIE0580-C8-01,L1,cie0580,CIE 0580,Core,CIE 0580 C8-01 Introduction To Probability (Core),short,49,CIE 0580 C8-01 Introduction To Probability (Core),CIE 0580 C8-01 Introduction To Probability (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c8-01
4,L1-CIE0580-C8-02,L1,cie0580,CIE 0580,Core,CIE 0580 C8-02 Rel & Exp Freq (Core),short,36,CIE 0580 C8-02 Rel & Exp Freq (Core),CIE 0580 C8-02 Rel & Exp Freq (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c8-02
4,L1-CIE0580-C8-03,L1,cie0580,CIE 0580,Core,CIE 0580 C8-03 Probability Of Combined Events (Core),short,52,CIE 0580 C8-03 Probability Of Combined Events (Core),CIE 0580 C8-03 Probability Of Combined Events (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c8-03
4,L1-CIE0580-C9-01,L1,cie0580,CIE 0580,Core,CIE 0580 C9-01 Classifying Statistical Data (Core),short,50,CIE 0580 C9-01 Classifying Statistical Data (Core),CIE 0580 C9-01 Classifying Statistical Data (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c9-01
4,L1-CIE0580-C9-02,L1,cie0580,CIE 0580,Core,CIE 0580 C9-02 Interpreting Statistical Data (Core),short,51,CIE 0580 C9-02 Interpreting Statistical Data (Core),CIE 0580 C9-02 Interpreting Statistical Data (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c9-02
4,L1-CIE0580-C9-03,L1,cie0580,CIE 0580,Core,CIE 0580 C9-03 Averages & Range (Core),short,38,CIE 0580 C9-03 Averages & Range (Core),CIE 0580 C9-03 Averages & Range (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c9-03
4,L1-CIE0580-C9-04,L1,cie0580,CIE 0580,Core,CIE 0580 C9-04 Statistical Charts & Diagrams (Core),short,51,CIE 0580 C9-04 Statistical Charts & Diagrams (Core),CIE 0580 C9-04 Statistical Charts & Diagrams (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c9-04
4,L1-CIE0580-E1-01,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-01 Types Of Number (Extended),short,41,CIE 0580 E1-01 Types Of Number (Extended),CIE 0580 E1-01 Types Of Number (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-01
4,L1-CIE0580-E1-02,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-02 Sets (Extended),short,30,CIE 0580 E1-02 Sets (Extended),CIE 0580 E1-02 Sets (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-02
4,L1-CIE0580-E1-03,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-03 Powers & Roots (Extended),short,40,CIE 0580 E1-03 Powers & Roots (Extended),CIE 0580 E1-03 Powers & Roots (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-03
4,L1-CIE0580-E1-04,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-04 FDP (Extended),short,29,CIE 0580 E1-04 FDP (Extended),CIE 0580 E1-04 FDP (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-04
